4	256	1	0.000007	\\ \hline
5	400	1	0.000004	\\ \hline
8	1024	14	0.000009	\\ \hline
10	1600	47	0.000015	\\ \hline
12	2304	33	0.000014	\\ \hline
14	3136	181	0.000020	\\ \hline
16	4096	4004	0.000034	\\ \hline
18	5184	1218	0.000028	\\ \hline
19	5776	8102	0.000044	\\ \hline
22	7744	27556	0.000053	\\ \hline
23	8464	82885	0.000059	\\ \hline
26	10816	313583	0.000081	\\ \hline
29	13456	3251665	0.000153	\\ \hline
30	14400	9275321	0.000105	\\ \hline
32	16384	22296146	0.000150	\\ \hline
33	17424	30030824	0.000156	\\ \hline
37	21904	208951422	0.000195	\\ \hline
37	21904	577662545	0.000192	\\ \hline
39	24336	2414372285	0.000286	\\ \hline
42	28224	2264464499	0.000306	\\ \hline
43	29584	2962363739	0.000337	\\ \hline
46	33856	3257643153	0.000366	\\ \hline
49	38416	1092737478	0.000394	\\ \hline
